title,date,desc,link
Alphabet’s Google rolls out Gemini 3 Flash after Pro’s success,2 minutes ago,"The company said it is releasing Gemini 3 Flash, a lower-cost version of its flagship model designed to handle more complex queries at greater speed.",https://invezz.com/news/2025/12/17/alphabets-google-rolls-out-gemini-3-flash-after-pros-success/&ved=2ahUKEwj72Om4ksWRAxXPZUEAHTSsKJcQxfQBegQICRAC&usg=AOvVaw09gtnkmnddl21X6DR60-jx
"Google rolls out Gemini 3 Flash, an ‘intelligence’ model for coding and ‘quick’ answers",7 minutes ago,"Google has today released Gemini 3 Flash, a 'frontier intelligence built for speed'. The model, which is part of the Gemini 3 umbrella, is seamless for...",https://technext24.com/2025/12/17/google-rolls-out-gemini-3-flash-model/&ved=2ahUKEwj72Om4ksWRAxXPZUEAHTSsKJcQxfQBegQIBBAC&usg=AOvVaw3asrhnBgOjMLHXPtROTAmJ
Google launches Gemini 3 Flash and makes it default AI model on Gemini app,1 minutes ago,Google launched the Gemini 3 Flash AI mode which has been made the default model on the Gemini app. The new model is said to even outrival the Gemini 2.5...,https://www.livemint.com/technology/tech-news/google-launches-gemini-3-flash-and-makes-it-default-ai-model-on-gemini-app-11765990720133.html&ved=2ahUKEwj72Om4ksWRAxXPZUEAHTSsKJcQxfQBegQIChAC&usg=AOvVaw0m2gXFuumvzGDo1sZoHNqk
"Google launches Gemini 3 Flash, makes it the default model in the Gemini app",4 minutes ago,Google is making Gemini 3 Flash the default model in the Gemini app and oAI model for Search.,https://startupnews.fyi/2025/12/17/google-launches-gemini-3-flash-makes-it-the-default-model-in-the-gemini-app/&ved=2ahUKEwj72Om4ksWRAxXPZUEAHTSsKJcQxfQBegQICBAC&usg=AOvVaw2mN-0ao6gst1nBHZmMKrnM
"General Mills and Lennar earnings, Google Gemini 3: Top Stories",9 minutes ago,"Market Catalysts host Julie Hyman tracks several of the day's top trending stock tickers, including General Mills (GIS) publishing its fiscal second quarter...",https://finance.yahoo.com/video/general-mills-lennar-earnings-google-170808017.html&ved=2ahUKEwj72Om4ksWRAxXPZUEAHTSsKJcQxfQBegQIAxAC&usg=AOvVaw3UnH7EktEqqxbNeFGxTbPD
Google announces Gemini 3 Flash for cost- and latency-sensitive AI applications,9 minutes ago,"Google has unveiled Gemini 3 Flash (preview), a lightweight alternative to its flagship Gemini 3 Pro model, designed to address high cost and latency...",https://www.neowin.net/news/google-announces-gemini-3-flash-for-cost--and-latency-sensitive-ai-applications/&ved=2ahUKEwj72Om4ksWRAxXPZUEAHTSsKJcQxfQBegQIBxAC&usg=AOvVaw2qRMa9_JWVnFf92SRecKfl
Google unveils 'Gemini 3 Flash' AI model focused on speed and cost,5 minutes ago,CNBC's Deirdre Bosa reports on Google's latest AI model Gemini 3 Flash.,https://www.youtube.com/watch%3Fv%3Dvs-9qWK0D1Y&ved=2ahUKEwj72Om4ksWRAxXPZUEAHTSsKJcQxfQBegQIAhAC&usg=AOvVaw2yqaCo7ztRr2oxrASujLDR
Google rolls out Gemini 3 Flash to AI Mode in Search globally,7 minutes ago,"Google said AI Mode will deliver faster, smarter answers and tackle complex questions, comparisons, and planning with stronger reasoning.",https://searchengineland.com/google-gemini-3-flash-ai-mode-in-search-globally-466373&ved=2ahUKEwj72Om4ksWRAxXPZUEAHTSsKJcQxfQBegQIBhAC&usg=AOvVaw3Ho4PhdczxoqRi28ALD7Io
"Is Google Gemini down? [December 17, 2025]",8 minutes ago,"Google Gemini is reportedly down for some users on December 17, 2025. Based on the graph showing on the outage tracking service DownDetector, the volume of...",https://community.designtaxi.com/topic/21146-is-google-gemini-down-december-17-2025/&ved=2ahUKEwj72Om4ksWRAxXPZUEAHTSsKJcQxfQBegQIBRAC&usg=AOvVaw11taOv3O4rcs4SOWuk-S79
Chrome Extension With Google “Featured” Badge Secretly Captured ChatGPT And Gemini Chats,0 minutes ago,"A popular Chrome extension with 6 million users was caught collecting ChatGPT, Gemini, and Copilot chats. Researchers say the extension injected scripts to...",https://www.techlusive.in/news/chrome-extension-with-google-featured-badge-secretly-captured-chatgpt-and-gemini-chats-1631966/&ved=2ahUKEwj72Om4ksWRAxXPZUEAHTSsKJcQxfQBegQIARAC&usg=AOvVaw3KZM8c7a-EnOUc_wZSzHlV
Google launches its faster AI model Gemini 3 Flash,1 minutes ago,"Alphabet's (GOOG) (GOOGL) Google has globally launched its AI model called Gemini 3 Flash, making it the default model in the Gemini app, replacing 2.5...",https://seekingalpha.com/news/4532538-google-launches-its-faster-ai-model-gemini-3-flash&ved=2ahUKEwj59MG5ksWRAxXMT0EAHRTiKUU4ChDF9AF6BAgJEAI&usg=AOvVaw0lT8RXyUdSu2i09Hqm_PKO
Google’s New Gemini 3 Flash Rivals Frontier Models at a Fraction of the Cost,3 minutes ago,"There's no end in sight for the current LLM release cycle. Within the last 30 days, we've seen the launches of Google's Gemini 3 Pro, Anthropic's Opus 4.",https://startupnews.fyi/2025/12/17/googles-new-gemini-3-flash-rivals-frontier-models-at-a-fraction-of-the-cost/&ved=2ahUKEwj59MG5ksWRAxXMT0EAHRTiKUU4ChDF9AF6BAgCEAI&usg=AOvVaw0LKh1FWV7BB989PQb22JF6
You can try Google's new Gemini 3 Flash AI model today for free - it's even in Search's AI Mode,1 hour ago,"Designed to balance speed with power, the new model will bring a boost to many of the AI perks that Gemini users have already come to expect,...",https://www.zdnet.com/article/google-gemini-3-flash-free-try-it/&ved=2ahUKEwj59MG5ksWRAxXMT0EAHRTiKUU4ChDF9AF6BAgKEAI&usg=AOvVaw0BlKyhc3ldKMqGXfrQYtBJ
"Is Google down? [December 17, 2025]",1 hour ago,"Google is reportedly down for hundreds of users on December 17, 2025. Based on the graph showing on the outage tracking service DownDetector, the volume of...",https://community.designtaxi.com/topic/21145-is-google-down-december-17-2025/&ved=2ahUKEwj59MG5ksWRAxXMT0EAHRTiKUU4ChDF9AF6BAgBEAI&usg=AOvVaw15L-ewUPtZJU8KWP6GyzZ8
Gemini integrates Opal vibe coding for AI mini apps on the web,1 hour ago,"Google is now integrating Opal, its vibe-coding tool for building AI mini apps, natively in the Gemini web app. That said, the integration allows users to.",https://www.findarticles.com/gemini-integrates-opal-vibe-coding-for-ai-mini-apps-on-the-web/&ved=2ahUKEwj59MG5ksWRAxXMT0EAHRTiKUU4ChDF9AF6BAgHEAI&usg=AOvVaw3RoJhFSO5Xoaz0fPNPn6rB
Google’s Gemini-Powered ‘CC’ Agent Starts Each Day With Personalized Email Briefings,1 hour ago,"CC connects to your Google account and uses Gemini AI to check your inbox, calendar, and documents every night.",https://www.extremetech.com/internet/googles-gemini-powered-cc-agent-starts-each-day-with-personalized-email&ved=2ahUKEwj59MG5ksWRAxXMT0EAHRTiKUU4ChDF9AF6BAgIEAI&usg=AOvVaw23YRD0quW2ED0uONrqHTSg
Gemini 3 Flash is rolling out globally in Google Search,1 hour ago,Gemini 3 Flash brings the incredible reasoning of our Gemini 3 model at the speed you expect of Search.,https://blog.google/products/search/google-ai-mode-update-gemini-3-flash/&ved=2ahUKEwj59MG5ksWRAxXMT0EAHRTiKUU4ChDF9AF6BAgGEAI&usg=AOvVaw2xr5zVhbHYfSaAald2n41M
Google’s Gemini 3 Flash model outperforms GPT-5.2 in some benchmarks,1 hour ago,"Almost exactly a month after the debut of Gemini 3 Pro in November, Google has begun rolling out the more efficient Flash version of its latest AI model.",https://startupnews.fyi/2025/12/17/googles-gemini-3-flash-model-outperforms-gpt-5-2-in-some-benchmarks/&ved=2ahUKEwj59MG5ksWRAxXMT0EAHRTiKUU4ChDF9AF6BAgEEAI&usg=AOvVaw3-M_HmeW0YM8LP-KWFd1Sp
"Build with Gemini 3 Flash, frontier intelligence that scales with you",1 hour ago,"Gemini 3 Flash is available for developers to build with now. Learn more about this smarter, scale-ready model and how — and where — you can use it now.",https://blog.google/technology/developers/build-with-gemini-3-flash/&ved=2ahUKEwj59MG5ksWRAxXMT0EAHRTiKUU4ChDF9AF6BAgDEAI&usg=AOvVaw1uTro6bJIMPIAaHg-rc0YO
Gemini 3 Flash is now available in Gemini CLI,1 hour ago,"Gemini 3 Flash is now in Gemini CLI, offering Pro-grade coding, low-latency, and lower cost for high-frequency dev tasks. Upgrade today.",https://developers.googleblog.com/gemini-3-flash-is-now-available-in-gemini-cli/&ved=2ahUKEwj59MG5ksWRAxXMT0EAHRTiKUU4ChDF9AF6BAgFEAI&usg=AOvVaw0QQs2b4oitVc5G6mcN1xy7
